epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,159.101,0.98868,1.44521,1.08896,0.77031,0.7568,0.81646,0.59445,0.92555,1.43617,1.09066,0.000786012,0.000786012,0.000786012
43,161.803,0.9658,1.39666,1.04657,0.84465,0.7582,0.83144,0.61312,0.93576,1.3552,1.08162,0.000783013,0.000783013,0.000783013
44,164.427,0.96707,1.36456,1.03359,0.78231,0.70156,0.79113,0.6211,0.92735,1.39624,1.07703,0.000780013,0.000780013,0.000780013
45,166.931,0.9883,1.40208,1.08252,0.67611,0.7083,0.77063,0.58855,0.94162,1.43681,1.08152,0.000777013,0.000777013,0.000777013
46,170.103,0.90456,1.34433,1.0413,0.79939,0.67816,0.79648,0.6264,0.87891,1.38609,1.05036,0.000774013,0.000774013,0.000774013
47,173.343,0.93253,1.37048,1.03335,0.75418,0.63456,0.71416,0.52261,1.01034,1.53018,1.10297,0.000771014,0.000771014,0.000771014
48,175.864,1.00227,1.36614,1.06912,0.81637,0.64795,0.8217,0.601,0.91923,1.38064,1.06251,0.000768014,0.000768014,0.000768014
49,178.584,0.89889,1.39249,1.01888,0.86907,0.66047,0.82406,0.5951,0.92692,1.35024,1.07073,0.000765014,0.000765014,0.000765014
50,181.052,0.94737,1.33532,1.08495,0.84018,0.66797,0.79337,0.63989,0.84637,1.31111,1.04274,0.000762015,0.000762015,0.000762015
51,184.537,0.92316,1.2579,1.03998,0.71338,0.72325,0.79541,0.62734,0.86053,1.31379,1.04917,0.000759015,0.000759015,0.000759015
52,187.517,0.90999,1.29132,1.03678,0.86809,0.66447,0.81331,0.60472,0.8681,1.28692,1.0404,0.000756015,0.000756015,0.000756015
53,189.943,0.92619,1.29779,1.02922,0.70105,0.79346,0.81043,0.6099,0.87512,1.27424,1.04399,0.000753016,0.000753016,0.000753016
54,192.702,0.92792,1.26177,1.04691,0.73838,0.80328,0.81657,0.60919,0.88885,1.27883,1.03947,0.000750016,0.000750016,0.000750016
55,195.445,0.9174,1.31088,1.06421,0.77609,0.74869,0.82332,0.63722,0.83523,1.23602,1.02794,0.000747016,0.000747016,0.000747016
56,199.331,0.92756,1.23423,1.03461,0.74484,0.7345,0.80067,0.59631,0.84685,1.30044,1.04819,0.000744016,0.000744016,0.000744016
57,201.999,0.86014,1.14503,1.00707,0.76295,0.78075,0.82459,0.61459,0.86579,1.27165,1.06091,0.000741017,0.000741017,0.000741017
58,204.526,0.89426,1.15083,1.03317,0.78226,0.7612,0.83747,0.63453,0.89276,1.25421,1.06012,0.000738017,0.000738017,0.000738017
59,206.901,0.87425,1.20042,1.03729,0.86171,0.79121,0.88284,0.64211,0.89605,1.19001,1.0297,0.000735017,0.000735017,0.000735017
60,209.578,0.8562,1.1142,1.01563,0.82539,0.79514,0.85554,0.64098,0.89361,1.28633,1.03539,0.000732018,0.000732018,0.000732018
61,213.11,0.86726,1.24853,1.05169,0.73648,0.85359,0.85049,0.63207,0.90621,1.32705,1.03485,0.000729018,0.000729018,0.000729018
62,215.7,0.90297,1.16805,1.02494,0.74112,0.79282,0.83108,0.63579,0.90392,1.29816,1.04677,0.000726018,0.000726018,0.000726018
63,218.427,0.80606,1.07719,0.99857,0.81951,0.7454,0.83555,0.65702,0.85005,1.25715,1.02922,0.000723019,0.000723019,0.000723019
64,221.026,0.86579,1.10219,1.05385,0.72033,0.79943,0.83858,0.64282,0.87001,1.29272,1.02573,0.000720019,0.000720019,0.000720019
65,224.196,0.86243,1.24667,1.01605,0.74555,0.72755,0.8472,0.63203,0.93815,1.29043,1.04566,0.000717019,0.000717019,0.000717019
66,227.174,0.8395,1.05981,0.99406,0.7532,0.71052,0.82044,0.61772,0.92014,1.32619,1.03973,0.000714019,0.000714019,0.000714019
67,229.816,0.8475,1.05256,1.01074,0.7855,0.83558,0.85084,0.66212,0.8399,1.2225,1.02946,0.00071102,0.00071102,0.00071102
68,232.35,0.85815,1.04013,0.99121,0.82164,0.8123,0.87209,0.6269,0.95292,1.22002,1.05793,0.00070802,0.00070802,0.00070802
69,234.768,0.91328,1.08111,1.06607,0.81293,0.82831,0.86386,0.62143,0.93301,1.18811,1.04815,0.00070502,0.00070502,0.00070502
