epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,177.65,0.88522,0.76384,1.0838,0.74001,0.85107,0.8834,0.60421,1.04094,1.0204,1.38023,0.000786012,0.000786012,0.000786012
43,180.621,0.89994,0.72676,1.05102,0.84805,0.82005,0.88783,0.61625,0.98048,0.91095,1.36546,0.000783013,0.000783013,0.000783013
44,183.532,0.82868,0.68967,1.00405,0.81763,0.82004,0.82206,0.57963,1.0107,1.01529,1.38245,0.000780013,0.000780013,0.000780013
45,186.361,0.88404,0.76526,1.08192,0.78957,0.77498,0.81758,0.59932,1.02762,0.99326,1.36521,0.000777013,0.000777013,0.000777013
46,190.577,0.80638,0.67755,1.03816,0.7433,0.8237,0.85798,0.61852,1.02469,0.93392,1.32459,0.000774013,0.000774013,0.000774013
47,193.399,0.85586,0.71088,1.04471,0.87764,0.76034,0.87706,0.59274,1.12585,1.00219,1.4726,0.000771014,0.000771014,0.000771014
48,196.42,0.83598,0.70576,1.04005,0.93421,0.85256,0.93096,0.65806,1.04841,0.88702,1.38226,0.000768014,0.000768014,0.000768014
49,199.405,0.81141,0.69562,1.04007,0.91138,0.83394,0.9138,0.64781,1.02117,0.85207,1.36112,0.000765014,0.000765014,0.000765014
50,202.93,0.88164,0.74231,1.07689,0.89321,0.79589,0.89517,0.64883,1.0239,0.80682,1.375,0.000762015,0.000762015,0.000762015
51,206.429,0.76291,0.64221,1.00986,0.88168,0.79649,0.88442,0.66015,1.00354,0.72699,1.32304,0.000759015,0.000759015,0.000759015
52,209.515,0.82768,0.68378,1.04842,0.86514,0.85209,0.87546,0.62128,0.97746,0.86884,1.3216,0.000756015,0.000756015,0.000756015
53,212.375,0.83879,0.74146,1.05245,0.86273,0.8225,0.85351,0.62067,0.99775,0.88181,1.34555,0.000753016,0.000753016,0.000753016
54,215.753,0.83293,0.71302,1.03968,0.89242,0.85367,0.92652,0.64576,1.05112,0.80416,1.366,0.000750016,0.000750016,0.000750016
55,219.656,0.83257,0.72807,1.05195,0.82328,0.79141,0.87693,0.61356,1.1182,0.93101,1.41184,0.000747016,0.000747016,0.000747016
56,222.621,0.79545,0.68686,1.02476,0.76573,0.77548,0.86295,0.60128,1.14593,0.94546,1.42376,0.000744016,0.000744016,0.000744016
57,225.559,0.7789,0.65315,1.02707,0.8861,0.70329,0.86913,0.61292,1.0882,0.88925,1.37513,0.000741017,0.000741017,0.000741017
58,228.796,0.75402,0.63607,1.00996,0.8454,0.76062,0.87679,0.63517,1.02322,0.86181,1.33824,0.000738017,0.000738017,0.000738017
59,232.712,0.77677,0.6689,1.01136,0.83351,0.82791,0.88727,0.6515,1.01145,0.92507,1.32619,0.000735017,0.000735017,0.000735017
60,235.562,0.74178,0.60768,1.00183,0.82259,0.77305,0.87246,0.63082,0.97781,0.97488,1.29362,0.000732018,0.000732018,0.000732018
61,238.327,0.75625,0.65739,1.02132,0.8031,0.81163,0.8882,0.63285,0.98995,0.9437,1.27832,0.000729018,0.000729018,0.000729018
62,241.373,0.74807,0.60978,0.99129,0.82724,0.84463,0.89422,0.62532,1.0916,0.92119,1.35522,0.000726018,0.000726018,0.000726018
63,245.34,0.78839,0.64318,1.02452,0.87986,0.87066,0.90264,0.64528,1.01779,0.86228,1.30283,0.000723019,0.000723019,0.000723019
64,248.545,0.77718,0.60648,1.05524,0.90293,0.7929,0.89308,0.65507,0.96993,0.82255,1.30099,0.000720019,0.000720019,0.000720019
65,251.251,0.81229,0.75641,1.01763,0.85601,0.76413,0.88458,0.64454,1.00158,0.84156,1.32326,0.000717019,0.000717019,0.000717019
66,254.075,0.74391,0.61865,0.9852,0.79522,0.78529,0.8668,0.61927,1.05055,0.87586,1.36152,0.000714019,0.000714019,0.000714019
67,257.677,0.74864,0.60386,1.00173,0.77638,0.75865,0.81111,0.58111,1.16156,0.98614,1.49008,0.00071102,0.00071102,0.00071102
68,260.997,0.72293,0.58818,0.98521,0.8461,0.74614,0.84747,0.60162,1.06734,0.9937,1.35989,0.00070802,0.00070802,0.00070802
69,263.844,0.7465,0.58748,1.02753,0.87559,0.77471,0.86123,0.60335,1.03715,0.95714,1.32292,0.00070502,0.00070502,0.00070502
70,266.798,0.7958,0.62818,1.04905,0.87896,0.78993,0.88293,0.62869,1.03371,0.82905,1.34531,0.000702021,0.000702021,0.000702021
71,269.939,0.73113,0.60367,1.00243,0.86207,0.82422,0.90089,0.66029,1.01055,0.80069,1.29644,0.000699021,0.000699021,0.000699021
72,273.796,0.74449,0.58694,0.9743,0.86413,0.81982,0.89589,0.64556,0.94996,0.7927,1.25988,0.000696021,0.000696021,0.000696021
73,276.608,0.6942,0.55506,0.95998,0.8754,0.80081,0.89799,0.65532,0.93937,0.81536,1.25247,0.000693022,0.000693022,0.000693022
74,279.677,0.74713,0.60224,1.0467,0.9156,0.83048,0.90733,0.68945,0.96478,0.82262,1.25635,0.000690022,0.000690022,0.000690022
75,282.631,0.70365,0.56103,0.97135,0.88468,0.78383,0.8626,0.62985,1.01676,0.87806,1.30138,0.000687022,0.000687022,0.000687022
76,286.692,0.70625,0.55982,0.98159,0.89957,0.77569,0.86996,0.65422,1.00451,0.84832,1.29806,0.000684022,0.000684022,0.000684022
77,289.502,0.74817,0.56064,1.0152,0.916,0.80527,0.9067,0.68323,0.97415,0.77381,1.27312,0.000681023,0.000681023,0.000681023
78,292.484,0.74197,0.57207,0.98944,0.85901,0.86136,0.87316,0.63967,1.02137,0.82687,1.3437,0.000678023,0.000678023,0.000678023
79,295.353,0.7502,0.61339,0.98145,0.87446,0.75535,0.88638,0.64334,1.01552,0.84432,1.32509,0.000675023,0.000675023,0.000675023
80,299.269,0.70461,0.60534,0.97605,0.79097,0.85408,0.85529,0.59493,1.05708,0.96044,1.33665,0.000672024,0.000672024,0.000672024
81,302.755,0.70093,0.58012,1.02354,0.8568,0.86257,0.89179,0.62518,1.05563,0.87554,1.33854,0.000669024,0.000669024,0.000669024
82,305.711,0.75699,0.64958,0.999,0.85377,0.83469,0.88528,0.63367,1.05194,0.75384,1.43791,0.000666024,0.000666024,0.000666024
83,308.55,0.77387,0.64441,1.03051,0.75199,0.88135,0.89491,0.6622,0.98216,0.72416,1.38233,0.000663025,0.000663025,0.000663025
84,311.907,0.69807,0.60974,0.99604,0.80484,0.85434,0.88472,0.65532,0.96496,0.81231,1.34457,0.000660025,0.000660025,0.000660025
85,315.495,0.6945,0.59807,0.98307,0.78617,0.87132,0.86678,0.65263,1.00988,0.83623,1.39692,0.000657025,0.000657025,0.000657025
86,318.413,0.69738,0.59865,0.99814,0.82787,0.76277,0.85123,0.63268,1.00998,0.87353,1.36333,0.000654025,0.000654025,0.000654025
87,321.288,0.69731,0.70731,0.98813,0.90779,0.73108,0.86484,0.63666,1.04084,0.79966,1.43017,0.000651026,0.000651026,0.000651026
88,324.337,0.72958,0.59555,1.01045,0.90769,0.76881,0.86403,0.62045,1.0187,0.74156,1.393,0.000648026,0.000648026,0.000648026
89,328.448,0.68329,0.56115,0.97363,0.88317,0.81621,0.89744,0.65861,0.99971,0.73415,1.36777,0.000645026,0.000645026,0.000645026
90,331.441,0.6984,0.60115,0.95841,0.90233,0.79328,0.87518,0.63863,1.06678,0.76921,1.42058,0.000642027,0.000642027,0.000642027
91,334.243,0.65113,0.51673,0.94701,0.85582,0.81389,0.871,0.65892,1.03689,0.76384,1.37722,0.000639027,0.000639027,0.000639027
92,337.283,0.66146,0.53488,0.96504,0.77766,0.88212,0.87285,0.66621,1.06926,0.73953,1.42026,0.000636027,0.000636027,0.000636027
93,340.945,0.68458,0.55995,0.9792,0.92133,0.73385,0.88398,0.65282,1.03816,0.7449,1.39208,0.000633028,0.000633028,0.000633028
94,344.312,0.66334,0.52152,0.95358,0.75436,0.91201,0.90159,0.66598,0.97615,0.80213,1.31055,0.000630028,0.000630028,0.000630028
95,347.124,0.68328,0.54409,0.95855,0.87113,0.77595,0.84904,0.61322,1.05794,0.84286,1.40736,0.000627028,0.000627028,0.000627028
96,350.056,0.74225,0.57554,1.01609,0.88726,0.80751,0.89962,0.64239,1.07061,0.81878,1.44505,0.000624028,0.000624028,0.000624028
97,352.916,0.71524,0.57829,0.99197,0.8675,0.82391,0.88604,0.65075,1.03994,0.83906,1.3849,0.000621029,0.000621029,0.000621029
98,356.881,0.68575,0.55516,0.96593,0.90425,0.8037,0.89856,0.68126,0.91037,0.7769,1.24725,0.000618029,0.000618029,0.000618029
99,359.604,0.67885,0.55781,0.96798,0.8757,0.83524,0.89853,0.67245,0.97267,0.84848,1.28874,0.000615029,0.000615029,0.000615029
100,362.568,0.70028,0.55375,1.00949,0.85247,0.80615,0.88062,0.66179,0.96613,0.89109,1.28011,0.00061203,0.00061203,0.00061203
101,365.306,0.6513,0.54917,0.96663,0.9065,0.78694,0.88129,0.65694,0.96597,0.85587,1.27762,0.00060903,0.00060903,0.00060903
102,369.265,0.71571,0.53822,1.00678,0.90925,0.8157,0.88246,0.65652,0.96355,0.83966,1.26331,0.00060603,0.00060603,0.00060603
103,372.221,0.64891,0.50735,0.97358,0.84021,0.79136,0.83473,0.63363,1.0163,0.78786,1.40437,0.000603031,0.000603031,0.000603031
104,375.169,0.7029,0.67628,0.97126,0.8912,0.85588,0.85653,0.61929,1.05265,0.77399,1.42269,0.000600031,0.000600031,0.000600031
105,377.98,0.7092,0.56864,0.97722,0.88609,0.83759,0.85483,0.62769,1.02936,0.78096,1.39664,0.000597031,0.000597031,0.000597031
106,381.561,0.69592,0.54385,0.98182,0.84141,0.79577,0.81588,0.61233,1.04447,0.77598,1.43377,0.000594031,0.000594031,0.000594031
107,385.063,0.67035,0.51764,1.00298,0.88961,0.80427,0.90162,0.67256,0.95396,0.74439,1.28346,0.000591032,0.000591032,0.000591032
108,388.095,0.64699,0.51231,0.97472,0.83613,0.80999,0.85529,0.64544,0.98652,0.7324,1.28838,0.000588032,0.000588032,0.000588032
109,390.817,0.63932,0.50519,0.96014,0.87186,0.81274,0.87794,0.63841,1.02464,0.7693,1.3214,0.000585032,0.000585032,0.000585032
110,393.887,0.68115,0.51208,0.96885,0.86747,0.81252,0.87589,0.63087,1.02936,0.78368,1.34273,0.000582033,0.000582033,0.000582033
111,397.852,0.63731,0.48831,0.9503,0.88951,0.79162,0.88176,0.64313,1.02482,0.76364,1.33259,0.000579033,0.000579033,0.000579033
112,400.874,0.64047,0.52005,0.94429,0.87241,0.81939,0.89428,0.65682,1.00663,0.7671,1.33147,0.000576033,0.000576033,0.000576033
113,403.794,0.64253,0.48805,0.97755,0.88691,0.8219,0.90212,0.67692,0.97214,0.73096,1.3096,0.000573034,0.000573034,0.000573034
114,406.823,0.63291,0.47806,0.95401,0.86773,0.83431,0.90171,0.6601,0.94697,0.74889,1.27755,0.000570034,0.000570034,0.000570034
115,410.776,0.635,0.49579,0.95327,0.86422,0.84513,0.91449,0.6711,0.93313,0.75316,1.26271,0.000567034,0.000567034,0.000567034
116,413.82,0.61562,0.47815,0.91724,0.91531,0.82392,0.89437,0.68038,0.94248,0.76848,1.25564,0.000564034,0.000564034,0.000564034
117,416.708,0.66427,0.5329,0.98527,0.87945,0.83171,0.8932,0.67475,0.94895,0.75443,1.24521,0.000561035,0.000561035,0.000561035
118,419.619,0.61726,0.48886,0.93704,0.83386,0.89477,0.90679,0.69141,0.93416,0.7578,1.244,0.000558035,0.000558035,0.000558035
119,422.991,0.62588,0.51131,0.91764,0.85078,0.88426,0.91364,0.67273,0.94691,0.76307,1.25282,0.000555035,0.000555035,0.000555035
120,426.567,0.64681,0.50554,0.96224,0.8816,0.88928,0.90315,0.66604,0.96245,0.70764,1.2393,0.000552036,0.000552036,0.000552036
121,429.329,0.65905,0.55018,0.98584,0.88684,0.88257,0.91075,0.68116,0.94474,0.66876,1.22794,0.000549036,0.000549036,0.000549036
122,432.219,0.6159,0.48011,0.96414,0.90176,0.87368,0.90908,0.67984,0.9256,0.63215,1.23893,0.000546036,0.000546036,0.000546036
123,435.133,0.59789,0.49605,0.94712,0.86948,0.85608,0.90083,0.68506,0.92291,0.66594,1.24095,0.000543037,0.000543037,0.000543037
124,439.306,0.67433,0.51415,0.97681,0.91778,0.80663,0.89786,0.70699,0.86096,0.66972,1.18775,0.000540037,0.000540037,0.000540037
125,442.194,0.66579,0.5,0.94328,0.85437,0.86976,0.8985,0.71161,0.85623,0.66025,1.19269,0.000537037,0.000537037,0.000537037
126,445.226,0.61408,0.48045,0.96222,0.88949,0.86413,0.89972,0.69996,0.91802,0.66357,1.2585,0.000534037,0.000534037,0.000534037
127,448.1,0.59397,0.46521,0.91495,0.88352,0.87099,0.89659,0.68041,0.91806,0.66272,1.27758,0.000531038,0.000531038,0.000531038
128,452.168,0.58959,0.47897,0.92367,0.89786,0.87547,0.90271,0.65216,0.99192,0.70425,1.33667,0.000528038,0.000528038,0.000528038
129,455.031,0.63346,0.49493,0.95733,0.86689,0.88007,0.90468,0.65424,0.99875,0.74326,1.34117,0.000525038,0.000525038,0.000525038
130,458.042,0.63477,0.51143,0.98324,0.86143,0.85951,0.89759,0.66575,0.97136,0.76388,1.31643,0.000522039,0.000522039,0.000522039
131,460.743,0.65516,0.51615,0.96231,0.86673,0.87311,0.88246,0.67056,0.96823,0.71965,1.30371,0.000519039,0.000519039,0.000519039
132,464.441,0.62606,0.50645,0.94957,0.88557,0.88976,0.90061,0.67075,0.98833,0.71791,1.30729,0.000516039,0.000516039,0.000516039
133,467.729,0.61738,0.50567,0.95657,0.89924,0.89573,0.89643,0.6821,0.98512,0.7298,1.29768,0.00051304,0.00051304,0.00051304
134,470.679,0.61717,0.47979,0.94364,0.92646,0.90508,0.92506,0.67373,0.98778,0.71384,1.28908,0.00051004,0.00051004,0.00051004
135,473.467,0.6116,0.46758,0.92336,0.8683,0.86106,0.90272,0.64466,1.03918,0.77066,1.33528,0.00050704,0.00050704,0.00050704
136,476.616,0.63368,0.48177,0.95031,0.89601,0.87828,0.89714,0.6642,0.97466,0.71526,1.29701,0.00050404,0.00050404,0.00050404
137,480.552,0.64662,0.50249,0.98884,0.89744,0.87641,0.89664,0.66608,0.93939,0.68431,1.27986,0.000501041,0.000501041,0.000501041
138,483.501,0.64534,0.52246,0.9646,0.90446,0.86871,0.89781,0.6443,0.95517,0.66562,1.29659,0.000498041,0.000498041,0.000498041
139,486.335,0.60672,0.48749,0.95746,0.9376,0.84626,0.90858,0.65598,0.95366,0.6518,1.29405,0.000495041,0.000495041,0.000495041
140,489.251,0.61943,0.50593,0.96307,0.92501,0.84874,0.90798,0.68699,0.93309,0.62838,1.26367,0.000492042,0.000492042,0.000492042
141,493.205,0.61951,0.49011,0.95601,0.91781,0.8598,0.90357,0.68189,0.9287,0.63423,1.25675,0.000489042,0.000489042,0.000489042
142,496.668,0.61102,0.49186,0.94543,0.91003,0.84846,0.89936,0.6821,0.94106,0.68874,1.28015,0.000486042,0.000486042,0.000486042
143,499.455,0.57414,0.53654,0.94066,0.90596,0.78795,0.90395,0.6527,0.95464,0.73209,1.29557,0.000483043,0.000483043,0.000483043
144,502.299,0.59328,0.51795,0.94797,0.91157,0.80513,0.89329,0.66539,0.89881,0.74749,1.26734,0.000480043,0.000480043,0.000480043
145,505.787,0.56512,0.45316,0.92507,0.89912,0.80622,0.88283,0.66788,0.89722,0.7719,1.26678,0.000477043,0.000477043,0.000477043
146,509.311,0.60063,0.49538,0.93044,0.83253,0.81939,0.88151,0.64906,0.93743,0.78472,1.28835,0.000474043,0.000474043,0.000474043
147,512.192,0.57994,0.44651,0.94019,0.93224,0.76824,0.91343,0.68435,0.94333,0.76555,1.27038,0.000471044,0.000471044,0.000471044
148,515.17,0.5771,0.45693,0.91978,0.88803,0.85365,0.91535,0.67856,0.90602,0.75547,1.25272,0.000468044,0.000468044,0.000468044
149,518.317,0.59633,0.46789,0.92334,0.8454,0.82191,0.86439,0.65486,0.90586,0.76376,1.25261,0.000465044,0.000465044,0.000465044
150,522.337,0.56687,0.45385,0.93734,0.86537,0.82647,0.8788,0.66926,0.90273,0.76863,1.24507,0.000462045,0.000462045,0.000462045
151,525.236,0.5677,0.46825,0.92796,0.79625,0.82629,0.86279,0.65172,0.97524,0.78213,1.30871,0.000459045,0.000459045,0.000459045
152,528.255,0.56544,0.46538,0.93999,0.8303,0.84254,0.87327,0.64358,0.98285,0.78046,1.32272,0.000456045,0.000456045,0.000456045
153,531.105,0.5771,0.45034,0.91368,0.8799,0.82545,0.8859,0.65144,0.96607,0.77119,1.31455,0.000453046,0.000453046,0.000453046
154,535.212,0.61204,0.49305,0.9483,0.85698,0.8634,0.87564,0.66092,0.9546,0.73982,1.30703,0.000450046,0.000450046,0.000450046
155,537.935,0.50744,0.4299,0.90643,0.86216,0.86299,0.87629,0.66124,0.93366,0.73395,1.27531,0.000447046,0.000447046,0.000447046
156,540.874,0.63556,0.47097,0.99817,0.84455,0.89798,0.87665,0.65676,0.91881,0.6881,1.29558,0.000444046,0.000444046,0.000444046
157,543.818,0.58909,0.46188,0.94988,0.85058,0.89381,0.87328,0.64663,0.93047,0.68843,1.30138,0.000441047,0.000441047,0.000441047
158,547.638,0.57813,0.438,0.9354,0.858,0.87847,0.85949,0.6413,0.99612,0.74154,1.34928,0.000438047,0.000438047,0.000438047
159,550.849,0.56138,0.46133,0.92708,0.88968,0.85201,0.88334,0.64488,0.98113,0.7716,1.30323,0.000435047,0.000435047,0.000435047
160,553.737,0.54869,0.4103,0.93954,0.87616,0.88668,0.88439,0.66086,0.94271,0.75705,1.26356,0.000432048,0.000432048,0.000432048
