epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,132.909,0.97803,1.43423,1.09807,0.6185,0.60893,0.70757,0.56513,0.99827,1.88118,1.00937,0.000786012,0.000786012,0.000786012
43,135.165,0.9344,1.4697,1.06464,0.5663,0.65158,0.69035,0.55366,0.96774,1.86333,1.01517,0.000783013,0.000783013,0.000783013
44,137.275,0.93326,1.33098,1.03603,0.52861,0.71846,0.68775,0.53072,1.01008,1.88983,1.04663,0.000780013,0.000780013,0.000780013
45,139.38,1.01322,1.39712,1.09496,0.50191,0.74761,0.70562,0.54579,0.98366,1.8768,1.03421,0.000777013,0.000777013,0.000777013
46,141.828,0.90705,1.2767,1.05129,0.43659,0.73878,0.66234,0.52848,0.99785,1.96263,1.02745,0.000774013,0.000774013,0.000774013
47,145.017,0.92023,1.25902,1.01209,0.5553,0.73554,0.62614,0.46719,0.98744,1.71375,1.00991,0.000771014,0.000771014,0.000771014
48,147.327,0.9341,1.27696,1.0326,0.6425,0.66084,0.70686,0.52718,1.02672,1.63385,1.02217,0.000768014,0.000768014,0.000768014
49,149.637,0.96861,1.29076,1.05247,0.64431,0.70323,0.7033,0.5331,0.99334,1.67658,0.99611,0.000765014,0.000765014,0.000765014
50,151.722,0.92273,1.28878,1.04099,0.63854,0.64626,0.72472,0.56614,0.96773,1.71446,1.01585,0.000762015,0.000762015,0.000762015
51,153.872,0.91608,1.22356,1.0307,0.55436,0.73532,0.71728,0.54558,0.96888,1.74411,1.03038,0.000759015,0.000759015,0.000759015
52,157.011,0.96662,1.24285,1.06063,0.53405,0.63673,0.69718,0.54954,0.97207,1.72971,1.00059,0.000756015,0.000756015,0.000756015
53,159.322,1.00225,1.28008,1.03543,0.55364,0.66843,0.71425,0.55341,0.93014,1.72062,1.00163,0.000753016,0.000753016,0.000753016
54,161.536,0.91935,1.36314,1.02275,0.56542,0.71192,0.72061,0.56293,0.98005,1.6629,1.02568,0.000750016,0.000750016,0.000750016
55,163.928,0.93093,1.22992,1.05076,0.58295,0.75585,0.75297,0.5698,0.91858,1.64006,0.99782,0.000747016,0.000747016,0.000747016
56,166.293,0.8608,1.11575,0.99703,0.56741,0.71087,0.7588,0.59208,0.90995,1.61581,0.99677,0.000744016,0.000744016,0.000744016
57,168.762,0.82457,1.09898,1.0163,0.54603,0.78918,0.76344,0.60895,0.91928,1.62471,1.00369,0.000741017,0.000741017,0.000741017
58,171.86,0.87023,1.12246,1.02291,0.61058,0.78428,0.77449,0.60553,0.94549,1.6193,0.99241,0.000738017,0.000738017,0.000738017
59,173.99,0.87888,1.11132,1.02428,0.65795,0.80761,0.80976,0.63579,0.90006,1.58039,0.96046,0.000735017,0.000735017,0.000735017
